mun_fr;map_names_ar;Type de liste (fr);nom_liste_fr;nom_liste_ar;votes_obtenus;porcentage_obtenus;sieges_obtenus;total_inscrits;votes_nul;votes_blancs;total_votes_valide;total_votes
Beni Hassen;بني حسان;Liste partisane;Courant Démocrate;التیار الدمقراطي;94;0,032103825;0;5127;101;33;2928;3062
Bou Arada;بوعرادة;Liste partisane;Courant Démocrate;التیار الدمقراطي;259;0,082405345;2;9568;170;84;3143;3397
Bouficha;بوفيشة;Liste partisane;Courant Démocrate;التیار الدمقراطي;471;0,075444498;2;12531;283;109;6243;6635
Bou Mhel El Bassatine;بومهل البساتين;Liste partisane;Courant Démocrate;التیار الدمقراطي;870;0,147682906;4;18334;201;123;5891;6215
Teboursouk;تبرسق;Liste partisane;Courant Démocrate;التیار الدمقراطي;233;0,077382929;1;10219;276;70;3011;3357
Tunis;تونس;Liste partisane;Courant Démocrate;التیار الدمقراطي;9847;0,123754226;8;328134;2831;2058;79569;84458
Hajeb El Ayoun;حاجب العيون;Liste partisane;Courant Démocrate;التیار الدمقراطي;522;0,091852895;2;11965;330;101;5683;6114
Hammam Chott;حمام الشط;Liste partisane;Courant Démocrate;التیار الدمقراطي;882;0,14193756;3;18086;220;97;6214;6531
Douar Hicher;دوار هيشر;Liste partisane;Courant Démocrate;التیار الدمقراطي;624;0,091348265;3;31394;644;172;6831;7469
Raoued;روّاد;Liste partisane;Courant Démocrate;التیار الدمقراطي;1884;0,151739691;5;43079;305;258;12416;12979
Sakiet Eddaeir;ساقية الداير;Liste partisane;Courant Démocrate;التیار الدمقراطي;2366;0,258692325;6;23195;225;147;9146;9518
Sakiet Ezzit;ساقية الزيت;Liste partisane;Courant Démocrate;التیار الدمقراطي;2251;0,167460199;5;32535;220;193;13442;13855
Siliana;سليانة;Liste partisane;Courant Démocrate;التیار الدمقراطي;365;0,055631763;1;22943;306;130;6561;6997
Soliman;سليمان;Liste partisane;Courant Démocrate;التیار الدمقراطي;471;0,052072968;1;18888;272;136;9045;9453
Sousse;سوسة;Liste partisane;Courant Démocrate;التیار الدمقراطي;2165;0,072137812;3;102744;921;561;30012;31494
Sidi Bouzid;سيدي بوزيد;Liste partisane;Courant Démocrate;التیار الدمقراطي;732;0,073295284;2;41689;295;132;9987;10414
Sidi Thabet;سيدي ثابت;Liste partisane;Courant Démocrate;التیار الدمقراطي;352;0,094649099;2;10100;147;60;3719;3926
Sisseb Edheriaat;سيسب الدريعات;Liste partisane;Courant Démocrate;التیار الدمقراطي;346;0,102245863;2;9702;141;64;3384;3589
Chenini Nahal;شنني - نحال;Liste partisane;Courant Démocrate;التیار الدمقراطي;744;0,271433783;5;9987;102;65;2741;2908
Chihia;شيحية;Liste partisane;Courant Démocrate;التیار الدمقراطي;3049;0,395050531;10;20091;184;115;7718;8017
Sfax;صفاقس;Liste partisane;Courant Démocrate;التیار الدمقراطي;7486;0,164722968;8;148647;1007;784;45446;47237
Tabarka;طبرقة;Liste partisane;Courant Démocrate;التیار الدمقراطي;192;0,040066778;1;17075;312;74;4792;5178
Teboulba;طبلبة;Liste partisane;Courant Démocrate;التیار الدمقراطي;260;0,03404924;1;17748;170;79;7636;7885
Teboulbou;طبلبو;Liste partisane;Courant Démocrate;التیار الدمقراطي;311;0,069966254;1;11479;136;70;4445;4651
Gabes;قابس;Liste partisane;Courant Démocrate;التیار الدمقراطي;2478;0,171357444;5;51010;261;251;14461;14973
Korba;قربة;Liste partisane;Courant Démocrate;التیار الدمقراطي;1632;0,17710255;5;24931;303;163;9215;9681
Ksour Essaf;قصور الساف;Liste partisane;Courant Démocrate;التیار الدمقراطي;711;0,121580027;3;15764;91;93;5848;6032
Gafsa;قفصة;Liste partisane;Courant Démocrate;التیار الدمقراطي;1008;0,068085106;3;54251;469;185;14805;15459
Kelibia;قليبية;Liste partisane;Courant Démocrate;التیار الدمقراطي;670;0,070201174;2;24622;231;120;9544;9895
Kesra;كسرى;Liste partisane;Courant Démocrate;التیار الدمقراطي;406;0,167560875;3;7794;207;72;2423;2702
Kondar;كندار;Liste partisane;Courant Démocrate;التیار الدمقراطي;225;0,060176518;1;5973;237;67;3739;4043
Mednine;مدنين;Liste partisane;Courant Démocrate;التیار الدمقراطي;822;0,054476771;2;47023;382;238;15089;15709
Msaken;مساكن;Liste partisane;Courant Démocrate;التیار الدمقراطي;1509;0,129372428;4;34825;336;183;11664;12183
Menzel Bouzelfa;منزل بوزلفة;Liste partisane;Courant Démocrate;التیار الدمقراطي;501;0,079059492;2;21036;244;154;6337;6735
Menzel Abderrahmane;منزل عبد الرحمان;Liste partisane;Courant Démocrate;التیار الدمقراطي;671;0,204013378;4;8139;171;68;3289;3528
Manouba;منوبة;Liste partisane;Courant Démocrate;التیار الدمقراطي;723;0,102017779;2;22044;156;136;7087;7379
Nabeul;نابل;Liste partisane;Courant Démocrate;التیار الدمقراطي;887;0,053868578;2;41924;494;327;16466;17287
Oued Ellil;وادي الليل;Liste partisane;Courant Démocrate;التیار الدمقراطي;807;0,096025702;3;30108;424;163;8404;8991
Ezzouhour - Kasserine;الزهور - القصرين;Liste partisane;Courant Démocrate;التیار الدمقراطي;902;0,196086957;4;14131;231;71;4600;4902
El Aouabed El Khazanet;العوابد - الخزانات;Liste partisane;Courant Démocrate;التیار الدمقراطي;296;0,065126513;1;12781;131;91;4545;4767
El Ain;العين;Liste partisane;Courant Démocrate;التیار الدمقراطي;3432;0,32447764;8;28468;247;196;10577;11020
La Marsa;المرسى;Liste partisane;Courant Démocrate;التیار الدمقراطي;596;0,031370072;1;51807;355;266;18999;19620
Beja;باجة;Liste partisane;Courant Démocrate;التیار الدمقراطي;670;0,063876442;2;41646;586;314;10489;11389
Le Bardo;باردو;Liste partisane;Courant Démocrate;التیار الدمقراطي;1836;0,14032406;4;44901;329;209;13084;13622
Jemna;جمنة;Liste partisane;Courant Démocrate;التیار الدمقراطي;891;0,498322148;6;3992;51;31;1788;1870
Douz;دوز;Liste partisane;Courant Démocrate;التیار الدمقراطي;1038;0,142994903;3;22819;226;132;7259;7617
Kebili;قبلي;Liste partisane;Courant Démocrate;التیار الدمقراطي;805;0,118854274;3;23887;231;175;6773;7179
Gremda;قرمدة;Liste partisane;Courant Démocrate;التیار الدمقراطي;1178;0,145145392;3;17166;116;92;8116;8324
Ghraiba;الغريبة;Liste partisane;El Binaa Al Watani;فك بلاصتك;144;0,077544426;2;7670;90;46;1857;1993
El Mourouj;المروج;Liste partisane;El Binaa Al Watani;فك بلاصتك;230;0,015731874;0;50600;325;195;14620;15140
Moknine;المكنين;Liste partisane;El Binaa Al Watani;فك بلاصتك;129;0,013188835;0;25874;229;99;9781;10109
Monastir;المنستير;Liste partisane;El Binaa Al Watani;فك بلاصتك;109;0,006243914;0;46430;384;209;17457;18050
Tozeur;توزر;Liste partisane;El Binaa Al Watani;فك بلاصتك;149;0,017626878;0;27942;279;167;8453;8899
Tunis;تونس;Liste partisane;El Binaa Al Watani;فك بلاصتك;1384;0,017393709;0;328134;2831;2058;79569;84458
Jendouba;جندوبة;Liste partisane;El Binaa Al Watani;فك بلاصتك;296;0,029145333;0;49945;579;303;10156;11038
Sidi Hassine;سيدي حسين;Liste partisane;El Binaa Al Watani;فك بلاصتك;261;0,030767417;1;38119;392;296;8484;9172
Teboulba;طبلبة;Liste partisane;El Binaa Al Watani;فك بلاصتك;232;0,030382399;1;17748;170;79;7636;7885
Ghomrassen;غمراسن;Liste partisane;El Binaa Al Watani;فك بلاصتك;142;0,065558633;1;7818;71;39;2166;2276
Fouchana;فوشانة;Liste partisane;El Binaa Al Watani;فك بلاصتك;283;0,041199592;0;20443;297;142;6869;7308
Gabes;قابس;Liste partisane;El Binaa Al Watani;فك بلاصتك;331;0,02288915;0;51010;261;251;14461;14973
