mun_fr;map_names_ar;Type de liste (fr);nom_liste_fr;nom_liste_ar;votes_obtenus;sieges_obtenus;total_inscrits;votes_nul;votes_blancs;total_votes_valide;total_votes
Bir M'chergua;بئر مشارقة;Liste partisane;Nidaa Tounes;حركة نداء تونس;303;2;7220;91;58;2727;2876
Tajerouine;تاجروين;Liste partisane;Nidaa Tounes;حركة نداء تونس;1023;5;14322;345;80;4909;5334
Tazarka;تازركة;Liste partisane;Nidaa Tounes;حركة نداء تونس;1854;7;5385;103;60;3009;3172
Takelsa;تاكلسة;Liste partisane;Nidaa Tounes;حركة نداء تونس;1594;5;13013;246;74;5562;5882
Thala;تالة;Liste partisane;Nidaa Tounes;حركة نداء تونس;1168;6;16363;362;102;4299;4763
Teboursouk;تبرسق;Liste partisane;Nidaa Tounes;حركة نداء تونس;989;6;10219;276;70;3011;3357
Tazaghrane;تزغران - زاوية المقايز;Liste partisane;Nidaa Tounes;حركة نداء تونس;454;2;8277;196;101;3791;4088
Testour;تستور;Liste partisane;Nidaa Tounes;حركة نداء تونس;1183;6;13521;220;127;4698;5045
Tataouine;تطاوين;Liste partisane;Nidaa Tounes;حركة نداء تونس;477;2;37780;211;153;8800;9164
Tataouine Sud;تطاوين الجنوبية;Liste partisane;Nidaa Tounes;حركة نداء تونس;204;2;3997;52;18;1266;1336
Telept;تلابت;Liste partisane;Nidaa Tounes;حركة نداء تونس;105;1;8201;152;35;2767;2954
Talalsa;تلالسة;Liste partisane;Nidaa Tounes;حركة نداء تونس;510;6;5672;122;47;1580;1749
Tameghza;تمغزة;Liste partisane;Nidaa Tounes;حركة نداء تونس;155;1;4381;101;36;2239;2376
Tozeur;توزر;Liste partisane;Nidaa Tounes;حركة نداء تونس;1068;3;27942;279;167;8453;8899
Tunis;تونس;Liste partisane;Nidaa Tounes;حركة نداء تونس;21740;17;328134;2831;2058;79569;84458
Tibar;تيبار;Liste partisane;Nidaa Tounes;حركة نداء تونس;647;9;5281;134;33;1319;1486
Tinja;تينجة;Liste partisane;Nidaa Tounes;حركة نداء تونس;379;2;10112;213;105;3284;3602
Jebel Oust;جبل الوسط;Liste partisane;Nidaa Tounes;حركة نداء تونس;107;0;4271;67;41;2587;2695
Djebeniana;جبنيانة;Liste partisane;Nidaa Tounes;حركة نداء تونس;1147;7;14702;224;101;4185;4510
Djedeliane;جدليان;Liste partisane;Nidaa Tounes;حركة نداء تونس;119;1;6741;221;48;3276;3545
Zarzis;جرجيس;Liste partisane;Nidaa Tounes;حركة نداء تونس;1933;5;21168;220;105;8333;8658
Zarzis Nord;جرجيس الشمالية;Liste partisane;Nidaa Tounes;حركة نداء تونس;1317;5;15515;187;130;6170;6487
Jilma;جلمة;Liste partisane;Nidaa Tounes;حركة نداء تونس;913;3;13383;204;111;5093;5408
Jammel;جمال;Liste partisane;Nidaa Tounes;حركة نداء تونس;1774;6;22244;194;75;8834;9103
Jemna;جمنة;Liste partisane;Nidaa Tounes;حركة نداء تونس;93;0;3992;51;31;1788;1870
Jendouba;جندوبة;Liste partisane;Nidaa Tounes;حركة نداء تونس;3045;11;49945;579;303;10156;11038
Jehina;جهينة;Liste partisane;Nidaa Tounes;حركة نداء تونس;644;5;3727;109;50;1605;1764
Joumine;جومين;Liste partisane;Nidaa Tounes;حركة نداء تونس;1162;7;11736;416;130;4587;5133
Hajeb El Ayoun;حاجب العيون;Liste partisane;Nidaa Tounes;حركة نداء تونس;776;3;11965;330;101;5683;6114
Hassi El Ferid;حاسي الفريد;Liste partisane;Nidaa Tounes;حركة نداء تونس;1033;4;9162;206;75;4443;4724
Hamet Ejrid;حامة الجريد;Liste partisane;Nidaa Tounes;حركة نداء تونس;207;2;4932;103;47;1579;1729
Hazeg El Louza;حزق - اللوزة;Liste partisane;Nidaa Tounes;حركة نداء تونس;841;5;8203;118;82;2879;3079
Hazoua;حزوة;Liste partisane;Nidaa Tounes;حركة نداء تونس;382;2;3450;97;23;1989;2109
Haffouz;حفوز;Liste partisane;Nidaa Tounes;حركة نداء تونس;685;3;13717;267;126;5475;5868
La Goulette;حلق الوادي;Liste partisane;Nidaa Tounes;حركة نداء تونس;2540;8;23448;210;172;7338;7720
Hammam Lif;حمام الأنف;Liste partisane;Nidaa Tounes;حركة نداء تونس;2821;9;22538;299;110;8262;8671
Hammam Chott;حمام الشط;Liste partisane;Nidaa Tounes;حركة نداء تونس;1297;5;18086;220;97;6214;6531
Hammam El Ghezaz;حمام الغزاز;Liste partisane;Nidaa Tounes;حركة نداء تونس;276;2;5031;69;43;2219;2331
Hammam Sousse;حمام سوسة;Liste partisane;Nidaa Tounes;حركة نداء تونس;1651;4;26781;294;179;10030;10503
Houmt Souk;حومة السوق;Liste partisane;Nidaa Tounes;حركة نداء تونس;888;2;33306;260;166;12742;13168
Hidra;حيدرة;Liste partisane;Nidaa Tounes;حركة نداء تونس;808;4;4973;106;43;2284;2433
Khmouda;خمودة;Liste partisane;Nidaa Tounes;حركة نداء تونس;1036;8;6186;98;31;2375;2504
Khenis;خنيس;Liste partisane;Nidaa Tounes;حركة نداء تونس;441;3;5642;60;37;2435;2532
Dar Chaabane El Fehri;دار شعبان;Liste partisane;Nidaa Tounes;حركة نداء تونس;2112;6;23512;296;175;9290;9761
Dar Allouch;دار علوش;Liste partisane;Nidaa Tounes;حركة نداء تونس;642;3;3759;83;20;2459;2562
Dkhilet Toujene;دخيلة توجان;Liste partisane;Nidaa Tounes;حركة نداء تونس;565;5;4691;67;45;2207;2319
Degach;دقاش;Liste partisane;Nidaa Tounes;حركة نداء تونس;465;2;12823;157;88;4156;4401
Douar Hicher;دوار هيشر;Liste partisane;Nidaa Tounes;حركة نداء تونس;1715;7;31394;644;172;6831;7469
Douz;دوز;Liste partisane;Nidaa Tounes;حركة نداء تونس;729;2;22819;226;132;7259;7617
Radès;رادس;Liste partisane;Nidaa Tounes;حركة نداء تونس;2461;8;29049;287;191;9624;10102
Ras Jebel;رأس الجبل;Liste partisane;Nidaa Tounes;حركة نداء تونس;558;3;15724;232;107;4926;5265
Rejim Mâatoug;رجيم معتوق;Liste partisane;Nidaa Tounes;حركة نداء تونس;514;5;1958;26;25;1190;1241
Rahal;رحال;Liste partisane;Nidaa Tounes;حركة نداء تونس;632;5;4571;56;63;2201;2320
Rafraf;رفراف;Liste partisane;Nidaa Tounes;حركة نداء تونس;638;5;6267;96;46;2325;2467
Rakada;رقادة;Liste partisane;Nidaa Tounes;حركة نداء تونس;592;4;8489;153;60;2846;3059
Remada;رمادة;Liste partisane;Nidaa Tounes;حركة نداء تونس;401;6;4292;63;27;1254;1344
Raoued;روّاد;Liste partisane;Nidaa Tounes;حركة نداء تونس;2097;6;43079;305;258;12416;12979
Zalba;زالبة;Liste partisane;Nidaa Tounes;حركة نداء تونس;316;5;3937;95;26;1039;1160
Sanouche;زانوش;Liste partisane;Nidaa Tounes;حركة نداء تونس;665;4;7039;201;34;3407;3642
Zaouiet Jdidi;زاوية الجديدي;Liste partisane;Nidaa Tounes;حركة نداء تونس;422;3;6014;120;44;2851;3015
Zaouia Sousse;زاوية سوسة;Liste partisane;Nidaa Tounes;حركة نداء تونس;1476;8;8517;217;57;3285;3559
Zaouiet Kontoch;زاوية قنطش;Liste partisane;Nidaa Tounes;حركة نداء تونس;410;3;3486;38;22;1755;1815
Zeramdine;زرمدين;Liste partisane;Nidaa Tounes;حركة نداء تونس;607;3;7449;121;48;3574;3743
Zaghouan;زغوان;Liste partisane;Nidaa Tounes;حركة نداء تونس;1230;4;20161;297;183;7225;7705
Zahret Medien;زهرة مدين;Liste partisane;Nidaa Tounes;حركة نداء تونس;929;6;9975;258;64;2946;3268
Sakiet Eddaeir;ساقية الداير;Liste partisane;Nidaa Tounes;حركة نداء تونس;1156;3;23195;225;147;9146;9518
Sakiet Ezzit;ساقية الزيت;Liste partisane;Nidaa Tounes;حركة نداء تونس;1856;4;32535;220;193;13442;13855
Sakiet Sidi Youssef;ساقية سيدي يوسف;Liste partisane;Nidaa Tounes;حركة نداء تونس;776;6;7995;240;82;2373;2695
Cebalet Ouled Asker;سبالة أولاد عسكر;Liste partisane;Nidaa Tounes;حركة نداء تونس;783;3;13619;207;69;4358;4634
Sbiba;سبيبة;Liste partisane;Nidaa Tounes;حركة نداء تونس;2432;9;15188;167;122;6301;6590
Sbeitla;سبيطلة;Liste partisane;Nidaa Tounes;حركة نداء تونس;1336;5;18341;351;151;7279;7781
Sejnane;سجنان;Liste partisane;Nidaa Tounes;حركة نداء تونس;1266;6;10470;278;85;3978;4341
Essaida;سعيدة;Liste partisane;Nidaa Tounes;حركة نداء تونس;1610;6;11266;157;96;4619;4872
Soukra;سكرة;Liste partisane;Nidaa Tounes;حركة نداء تونس;3291;8;51175;387;457;14094;14938
Siliana;سليانة;Liste partisane;Nidaa Tounes;حركة نداء تونس;1032;4;22943;306;130;6561;6997
Soliman;سليمان;Liste partisane;Nidaa Tounes;حركة نداء تونس;1721;5;18888;272;136;9045;9453
