mun_fr;map_names_ar;Type de liste (fr);nom_liste_fr;nom_liste_ar;votes_obtenus;sieges_obtenus;total_inscrits;votes_nul;votes_blancs;total_votes_valide;total_votes
Zarzis Nord;جرجيس الشمالية;Liste partisane;Ennahdha;حزب حركة النھضة;2284;9;15515;187;130;6170;6487
Jilma;جلمة;Liste partisane;Ennahdha;حزب حركة النھضة;1699;6;13383;204;111;5093;5408
Jammel;جمال;Liste partisane;Ennahdha;حزب حركة النھضة;1582;5;22244;194;75;8834;9103
Jemna;جمنة;Liste partisane;Ennahdha;حزب حركة النھضة;543;4;3992;51;31;1788;1870
Jendouba;جندوبة;Liste partisane;Ennahdha;حزب حركة النھضة;3502;13;49945;579;303;10156;11038
Jehina;جهينة;Liste partisane;Ennahdha;حزب حركة النھضة;275;2;3727;109;50;1605;1764
Joumine;جومين;Liste partisane;Ennahdha;حزب حركة النھضة;592;3;11736;416;130;4587;5133
Hajeb El Ayoun;حاجب العيون;Liste partisane;Ennahdha;حزب حركة النھضة;746;2;11965;330;101;5683;6114
Hassi El Ferid;حاسي الفريد;Liste partisane;Ennahdha;حزب حركة النھضة;1548;6;9162;206;75;4443;4724
Hamet Ejrid;حامة الجريد;Liste partisane;Ennahdha;حزب حركة النھضة;490;4;4932;103;47;1579;1729
Hazeg El Louza;حزق - اللوزة;Liste partisane;Ennahdha;حزب حركة النھضة;1620;10;8203;118;82;2879;3079
Hazoua;حزوة;Liste partisane;Ennahdha;حزب حركة النھضة;548;3;3450;97;23;1989;2109
Haffouz;حفوز;Liste partisane;Ennahdha;حزب حركة النھضة;1953;9;13717;267;126;5475;5868
La Goulette;حلق الوادي;Liste partisane;Ennahdha;حزب حركة النھضة;1675;5;23448;210;172;7338;7720
Hammam Lif;حمام الأنف;Liste partisane;Ennahdha;حزب حركة النھضة;2365;7;22538;299;110;8262;8671
Hammam Chott;حمام الشط;Liste partisane;Ennahdha;حزب حركة النھضة;1377;5;18086;220;97;6214;6531
Hammam El Ghezaz;حمام الغزاز;Liste partisane;Ennahdha;حزب حركة النھضة;948;5;5031;69;43;2219;2331
Hammam Sousse;حمام سوسة;Liste partisane;Ennahdha;حزب حركة النھضة;1138;3;26781;294;179;10030;10503
Houmt Souk;حومة السوق;Liste partisane;Ennahdha;حزب حركة النھضة;5436;13;33306;260;166;12742;13168
Hidra;حيدرة;Liste partisane;Ennahdha;حزب حركة النھضة;486;3;4973;106;43;2284;2433
Khmouda;خمودة;Liste partisane;Ennahdha;حزب حركة النھضة;795;6;6186;98;31;2375;2504
Khenis;خنيس;Liste partisane;Ennahdha;حزب حركة النھضة;841;6;5642;60;37;2435;2532
Dar Chaabane El Fehri;دار شعبان;Liste partisane;Ennahdha;حزب حركة النھضة;2822;7;23512;296;175;9290;9761
Dar Allouch;دار علوش;Liste partisane;Ennahdha;حزب حركة النھضة;203;1;3759;83;20;2459;2562
Dkhilet Toujene;دخيلة توجان;Liste partisane;Ennahdha;حزب حركة النھضة;1301;11;4691;67;45;2207;2319
Degach;دقاش;Liste partisane;Ennahdha;حزب حركة النھضة;839;4;12823;157;88;4156;4401
Douar Hicher;دوار هيشر;Liste partisane;Ennahdha;حزب حركة النھضة;2736;12;31394;644;172;6831;7469
Douz;دوز;Liste partisane;Ennahdha;حزب حركة النھضة;2067;7;22819;226;132;7259;7617
Radès;رادس;Liste partisane;Ennahdha;حزب حركة النھضة;2622;8;29049;287;191;9624;10102
Ras Jebel;رأس الجبل;Liste partisane;Ennahdha;حزب حركة النھضة;1469;7;15724;232;107;4926;5265
Rejim Mâatoug;رجيم معتوق;Liste partisane;Ennahdha;حزب حركة النھضة;356;4;1958;26;25;1190;1241
Rahal;رحال;Liste partisane;Ennahdha;حزب حركة النھضة;221;2;4571;56;63;2201;2320
Rafraf;رفراف;Liste partisane;Ennahdha;حزب حركة النھضة;1394;11;6267;96;46;2325;2467
Rakada;رقادة;Liste partisane;Ennahdha;حزب حركة النھضة;843;5;8489;153;60;2846;3059
Remada;رمادة;Liste partisane;Ennahdha;حزب حركة النھضة;580;8;4292;63;27;1254;1344
Raoued;روّاد;Liste partisane;Ennahdha;حزب حركة النھضة;4377;13;43079;305;258;12416;12979
Zalba;زالبة;Liste partisane;Ennahdha;حزب حركة النھضة;333;6;3937;95;26;1039;1160
Sanouche;زانوش;Liste partisane;Ennahdha;حزب حركة النھضة;650;3;7039;201;34;3407;3642
Zaouiet Jdidi;زاوية الجديدي;Liste partisane;Ennahdha;حزب حركة النھضة;203;1;6014;120;44;2851;3015
Zaouia Sousse;زاوية سوسة;Liste partisane;Ennahdha;حزب حركة النھضة;1063;6;8517;217;57;3285;3559
